,US_M2_USD,dff,^GSPC,gini_coefficient
2017-06-01,13526700.0,0.91,2430.06005859375,0.5352919597121811
2017-07-01,13589800.0,1.06,2429.010009765625,0.535055562209415
2017-08-01,13659600.0,1.16,2476.35009765625,0.5343867099653918
2017-09-01,13711900.0,1.16,2476.550048828125,0.5350116758871869
2017-10-01,13757600.0,1.06,2529.1201171875,0.5350110243411468
2017-11-01,13827000.0,1.16,2579.360107421875,0.5351328902153154
2017-12-01,13952400.0,1.16,2642.219970703125,0.5365626887219302
2018-01-01,13870600.0,1.33,2695.81005859375,0.5368650462074304
2018-02-01,13857200.0,1.42,2821.97998046875,0.537429602884613
2018-03-01,14039600.0,1.42,2677.669921875,0.5375771930080019
2018-04-01,14078100.0,1.67,2581.8798828125,0.5376131745644521
2018-05-01,13989700.0,1.7,2654.800048828125,0.5383831558254452
2018-06-01,14084900.0,1.7,2734.6201171875,0.5383232812779043
2018-07-01,14121200.0,1.91,2726.7099609375,0.5383776225800692
2018-08-01,14177500.0,1.91,2813.360107421875,0.5394312360044728
2018-09-01,14212900.0,1.91,2896.719970703125,0.5390594954718819
2018-10-01,14214700.0,2.18,2924.590087890625,0.5385527216015035
2018-11-01,14268700.0,2.2,2740.3701171875,0.5392421837574021
2018-12-01,14463600.0,2.2,2790.3701171875,0.5370956651608539
2019-01-01,14439800.0,2.4,2510.030029296875,0.5374507297115857
2019-02-01,14418400.0,2.4,2706.530029296875,0.5372135050081361
2019-03-01,14590000.0,2.4,2803.68994140625,0.5372843798094686
2019-04-01,14640300.0,2.41,2867.18994140625,0.5373378462558546
2019-05-01,14592200.0,2.45,2923.72998046875,0.536840820864702
2019-06-01,14752100.0,2.4,2744.449951171875,0.537429467995034
2019-07-01,14832300.0,2.39,2964.330078125,0.5376828384107014
2019-08-01,14914600.0,2.14,2953.56005859375,0.5377381939792905
2019-09-01,15006100.0,2.13,2906.27001953125,0.5375343668789428
2019-10-01,15132100.0,1.88,2940.25,0.5375464708963467
2019-11-01,15280000.0,1.57,3066.909912109375,0.5357991553889601
2019-12-01,15433300.0,1.56,3113.8701171875,0.5362915121113839
2020-01-01,15418400.0,1.55,3257.85009765625,0.5349065211024375
2020-02-01,15404400.0,1.59,3248.919921875,0.5341803831986539
2020-03-01,16070500.0,1.58,3090.22998046875,0.5329672570280786
2020-04-01,17112900.0,0.06,2470.5,0.5489414222610417
2020-05-01,17779700.0,0.05,2830.7099609375,0.5456466275175935
2020-06-01,18117500.0,0.05,3055.72998046875,0.5419988539793921
2020-07-01,18266000.0,0.08,3115.860107421875,0.5427711871617908
2020-08-01,18331700.0,0.1,3294.610107421875,0.5420832144156857
2020-09-01,18553200.0,0.09,3526.64990234375,0.543053368736262
2020-10-01,18695900.0,0.09,3380.800048828125,0.5409948968907327
2020-11-01,18982300.0,0.09,3310.239990234375,0.5397418972147766
2020-12-01,19245500.0,0.09,3662.449951171875,0.539214663789315
2021-01-01,19367300.0,0.09,3700.64990234375,0.542135389614704
2021-02-01,19514300.0,0.08,3773.860107421875,0.5431005808403284
2021-03-01,19932200.0,0.07,3901.820068359375,0.5466411845231353
2021-04-01,20252600.0,0.07,4019.8701171875,0.5458579113773185
2021-05-01,20297500.0,0.05,4192.66015625,0.546765797228043
2021-06-01,20418500.0,0.06,4202.0400390625,0.5473369176466969
2021-07-01,20570000.0,0.1,4319.93994140625,0.5477707056435424
2021-08-01,20761500.0,0.07,4387.16015625,0.5484364090764421
2021-09-01,20934400.0,0.08,4524.08984375,0.5481047874914593
2021-10-01,21099900.0,0.08,4357.0400390625,0.5482137834793301
2021-11-01,21333600.0,0.08,4613.669921875,0.5479096942739148
2021-12-01,21656700.0,0.08,4513.0400390625,0.5481530326404541
2022-01-01,21639400.0,0.07,4796.56005859375,0.5487138879007197
2022-02-01,21591100.0,0.08,4546.5400390625,0.5474812478392997
2022-03-01,21862500.0,0.08,4306.259765625,0.548319651944233
2022-04-01,21852000.0,0.33,4545.85986328125,0.5485046386768577
2022-05-01,21555000.0,0.33,4155.3798828125,0.5478954038696645
2022-06-01,21578900.0,0.83,4101.22998046875,0.548183234299069
2022-07-01,21573800.0,1.58,3825.330078125,0.5487005613340866
2022-08-01,21545500.0,2.33,4118.6298828125,0.5479563969099855
2022-09-01,21466100.0,2.33,3966.85009765625,0.5471137766507482
2022-10-01,21370700.0,3.08,3678.429931640625,0.5474975807073863
2022-11-01,21371000.0,3.08,3856.10009765625,0.5472159759025053
2022-12-01,21399900.0,3.83,4076.570068359375,0.5469961418619923
2023-01-01,21257600.0,4.33,3824.139892578125,0.5476723184459602
2023-02-01,21104900.0,4.33,4119.2099609375,0.5477021162528444
2023-03-01,21009100.0,4.58,3951.389892578125,0.547787232513782
